Rk,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
1218,30,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1219,28,62,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
1220,28,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1221,33,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/*5
1222,30,151,515,481,64,129,22,8,22,53,29,4,118,2,2,1,6,22,6,0.268,0.312,0.484,0.796,*9*8H
1223,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1224,32,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1225,30,34,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
1226,24,124,473,441,43,117,23,3,14,56,24,0,98,3,0,5,11,0,0,0.265,0.304,0.426,0.731,*7D/H
1227,32,122,532,477,82,140,26,2,15,61,25,0,75,18,10,2,5,21,3,0.294,0.351,0.451,0.801,*98/H
1228,29,47,34,32,2,5,0,0,0,1,0,0,15,0,2,0,0,0,0,0.156,0.156,0.156,0.313,*1
1229,22,58,241,210,26,51,9,2,1,8,24,1,71,0,7,0,5,18,8,0.243,0.321,0.319,0.64,*6/H
1230,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1231,25,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/*1
1232,26,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1233,35,19,36,29,2,2,0,0,0,2,3,0,17,0,4,0,0,0,0,0.069,0.156,0.069,0.225,*1
1234,28,47,148,135,18,34,6,1,4,16,9,1,28,0,2,2,2,0,1,0.252,0.295,0.4,0.695,*2/HD
1235,29,33,52,42,4,5,1,0,1,4,1,0,23,0,9,0,0,0,0,0.119,0.14,0.214,0.354,*1
1236,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1237,29,162,726,581,101,177,30,3,24,73,135,19,138,4,0,6,15,6,3,0.305,0.435,0.491,0.926,*3/H
1238,21,15,22,21,0,3,0,0,0,3,0,0,10,0,1,0,0,0,0,0.143,0.143,0.143,0.286,*1
1239,29,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1240,31,35,81,71,4,15,4,0,0,6,0,0,23,0,9,1,2,0,0,0.211,0.208,0.268,0.476,*1/H
1241,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1242,27,133,551,478,62,120,24,4,16,53,50,4,85,15,5,3,14,1,2,0.251,0.339,0.418,0.757,*4/H
1243,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1244,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1245,26,79,285,262,35,58,14,1,13,36,18,0,104,5,0,0,5,1,1,0.221,0.284,0.431,0.716,*3/5HD
1246,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1247,23,8,9,8,2,3,0,1,0,1,1,0,0,0,0,0,1,0,0,0.375,0.444,0.625,1.069,/*H65
1248,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1249,25,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1250,23,27,42,38,2,8,1,0,0,0,3,0,14,0,1,0,0,0,0,0.211,0.268,0.237,0.505,*H/4
1251,28,67,3,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,*1
1252,30,24,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,*1
1253,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1254,27,66,3,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.333,0.333,0.333,0.667,*1
1255,28,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/*1
1256,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1257,26,8,9,9,3,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0.111,0.111,0.111,0.222,/*H*48D
1258,30,104,399,350,40,73,20,1,10,24,40,0,105,9,0,0,13,7,3,0.209,0.306,0.357,0.663,*4H
1259,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1260,28,53,102,95,6,12,2,0,0,1,7,0,31,0,0,0,1,0,1,0.126,0.186,0.147,0.334,H79/D81
1261,34,130,458,424,45,99,16,0,11,50,30,1,73,0,0,4,9,7,3,0.233,0.282,0.349,0.631,*79HD/345
1262,34,129,532,462,84,147,24,0,25,82,60,3,101,5,0,5,9,10,1,0.318,0.398,0.532,0.931,*9/DH
1263,35,21,42,34,5,6,2,0,0,4,4,0,12,0,4,0,1,1,0,0.176,0.263,0.235,0.498,*1
1264,24,28,42,41,1,9,2,0,0,7,1,0,10,0,0,0,1,0,0,0.22,0.238,0.268,0.506,*H/375
1265,23,18,34,30,1,4,1,0,0,2,1,0,13,0,3,0,0,0,0,0.133,0.161,0.167,0.328,*1/H
1266,27,148,579,523,59,123,29,0,22,79,43,5,104,0,1,12,7,2,0,0.235,0.287,0.417,0.704,*2/HD
1267,35,47,63,57,9,9,2,0,0,3,5,1,19,1,0,0,1,0,1,0.158,0.238,0.193,0.431,*H/375
