Rk,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
1,31,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
2,27,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
3,28,53,147,138,21,37,12,3,2,14,6,1,33,1,1,1,5,0,2,0.268,0.301,0.442,0.743,*4H/65
4,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
5,25,113,427,384,40,97,18,2,4,31,37,1,72,1,4,1,6,2,3,0.253,0.319,0.341,0.66,487/H3D
6,26,43,152,140,10,27,5,1,2,13,9,0,43,2,1,0,4,0,0,0.193,0.252,0.286,0.537,*5/43H
7,24,108,319,296,46,84,14,0,17,51,23,0,80,0,0,0,9,0,1,0.284,0.335,0.503,0.839,*3H
8,34,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
9,28,17,34,31,2,8,1,0,0,0,3,0,9,0,0,0,0,2,0,0.258,0.324,0.29,0.614,/H7D3
10,23,9,20,18,3,4,1,0,1,3,1,0,5,0,1,0,1,0,0,0.222,0.263,0.444,0.708,/*6H
11,34,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
12,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
13,30,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
14,27,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
15,24,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
16,24,25,82,72,10,19,4,0,2,9,6,0,21,0,2,2,2,1,0,0.264,0.313,0.403,0.715,*8/9H7D
17,24,34,113,106,9,25,4,0,1,9,6,0,19,0,0,1,2,3,1,0.236,0.274,0.302,0.576,*7/H9D
18,26,97,375,334,34,94,11,0,6,45,32,5,47,2,0,7,9,6,0,0.281,0.341,0.368,0.71,*3/H475
19,23,152,672,626,64,177,31,2,5,52,32,5,85,2,4,8,24,35,13,0.283,0.316,0.363,0.678,*4/D
20,23,17,35,30,2,9,3,0,1,6,0,0,12,0,4,1,0,0,0,0.3,0.29,0.5,0.79,*1
21,24,14,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,*1
22,26,152,614,558,70,130,22,2,36,100,48,7,186,4,0,4,16,2,0,0.233,0.296,0.473,0.77,*5/HD
23,24,146,396,368,35,87,14,4,5,32,22,1,57,2,3,1,7,4,2,0.236,0.282,0.337,0.619,*8H467/5
24,29,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
25,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
26,25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
27,26,10,19,18,1,1,1,0,0,2,1,0,5,0,0,0,0,0,0,0.056,0.105,0.111,0.216,*2
28,29,29,85,76,5,14,4,0,0,4,7,0,27,0,2,0,3,0,0,0.184,0.253,0.237,0.49,*6/45H
29,24,156,698,620,91,168,17,4,4,67,52,1,97,4,16,6,19,42,8,0.271,0.328,0.331,0.659,*6D/H
30,33,45,136,128,13,24,7,1,7,18,8,0,60,0,0,0,1,0,1,0.188,0.235,0.422,0.657,*98/H
31,31,155,674,597,80,171,20,3,8,37,55,1,40,11,8,3,9,20,12,0.286,0.356,0.37,0.726,*9/H8
32,24,23,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
33,22,97,378,351,34,88,17,2,14,43,23,0,117,4,0,0,4,1,2,0.251,0.304,0.43,0.734,*79/DH
34,22,133,514,486,49,130,29,4,10,52,23,1,72,1,2,2,16,2,0,0.267,0.301,0.405,0.706,*5/H
35,27,138,497,474,45,92,18,0,21,55,18,0,148,3,0,2,8,0,2,0.194,0.227,0.365,0.592,*2H/D
36,28,102,236,225,17,61,9,2,1,19,4,1,33,1,4,2,4,1,0,0.271,0.284,0.342,0.627,*5H64/3
37,27,14,19,15,0,2,0,0,0,2,0,0,10,0,4,0,0,0,0,0.133,0.133,0.133,0.267,*1
38,36,32,75,59,0,4,0,0,0,0,0,0,26,0,16,0,1,0,0,0.068,0.068,0.068,0.136,*1
39,23,50,179,162,18,38,8,1,5,22,15,3,43,1,0,1,1,1,0,0.235,0.302,0.389,0.691,*5/H
40,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
41,37,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
42,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
43,26,102,379,330,39,75,14,1,11,47,44,0,112,1,1,3,10,0,0,0.227,0.317,0.376,0.693,*2/H
44,23,75,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,*1
45,32,124,394,361,54,91,15,0,9,46,15,0,41,3,7,8,11,8,5,0.252,0.282,0.368,0.65,56H4/D79
46,27,30,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.5,1,*1
47,30,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
48,35,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
49,29,138,589,550,68,149,33,5,6,54,23,1,59,3,8,5,14,12,7,0.271,0.301,0.382,0.683,*6
50,30,63,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
51,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
52,27,32,73,58,3,9,1,0,0,1,3,0,18,1,11,0,2,0,0,0.155,0.21,0.172,0.382,*1
53,32,74,175,154,21,43,8,0,11,21,18,1,48,2,0,1,5,1,0,0.279,0.36,0.545,0.905,H37D5/49
54,32,16,46,40,0,6,0,0,0,2,6,0,12,0,0,0,4,0,0,0.15,0.261,0.15,0.411,*2/H
55,31,3,4,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,/*1
56,35,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
57,26,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,/*2
58,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
59,34,108,330,304,22,64,15,0,5,23,14,3,70,2,9,1,5,0,0,0.211,0.249,0.309,0.558,*6/H
60,27,136,445,408,46,98,17,1,8,41,21,0,127,8,6,2,5,11,11,0.24,0.289,0.346,0.635,*89H/7
61,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
62,27,141,555,501,49,104,25,1,7,41,36,5,64,6,4,6,22,4,2,0.208,0.266,0.303,0.569,*4/H
63,27,37,120,104,15,28,2,0,3,16,13,0,18,1,0,2,1,0,0,0.269,0.35,0.375,0.725,*3/H
64,25,24,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
65,27,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
66,22,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,/*1
67,32,118,528,452,82,117,24,0,28,73,69,2,84,3,0,4,13,7,2,0.259,0.358,0.498,0.856,*9/D53
68,28,74,155,132,14,25,6,1,0,4,17,0,28,5,0,1,1,5,2,0.189,0.303,0.25,0.553,H97
69,34,68,236,206,30,42,6,0,11,20,26,1,62,2,1,1,6,3,1,0.204,0.298,0.393,0.691,*79H/D8
70,26,5,12,8,1,1,0,0,0,0,1,0,3,0,3,0,0,0,0,0.125,0.222,0.125,0.347,/*1
71,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
72,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
73,33,8,12,8,0,1,0,0,0,0,1,0,3,0,3,0,1,0,0,0.125,0.222,0.125,0.347,/*1
74,26,103,408,371,46,99,22,1,5,24,28,2,56,4,1,4,10,5,1,0.267,0.322,0.372,0.694,*4/H6
75,23,5,8,7,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0.429,0.375,0.429,0.804,/*H*46
76,34,32,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,*1
77,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
78,30,77,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*1
79,33,72,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
80,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
81,35,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
82,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
83,25,150,571,509,76,147,39,4,17,67,52,4,125,6,1,3,4,5,2,0.289,0.36,0.481,0.841,*3H
84,36,145,600,554,79,164,30,3,24,84,38,1,90,1,1,6,12,2,1,0.296,0.339,0.491,0.83,*9/HD
85,34,161,690,631,88,199,32,0,30,92,50,12,78,7,0,2,17,1,0,0.315,0.371,0.509,0.88,*5D
86,23,22,42,40,7,10,1,0,0,2,0,0,5,1,1,0,1,1,2,0.25,0.268,0.275,0.543,/H987D
87,35,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
88,37,73,294,256,27,62,10,1,6,34,38,3,52,0,0,0,7,0,0,0.242,0.34,0.359,0.7,*D/H3
89,29,112,250,227,26,41,10,2,4,11,16,1,65,5,2,0,4,4,0,0.181,0.25,0.295,0.545,9H78
90,33,33,64,53,9,12,3,0,0,5,8,1,15,1,2,0,1,2,1,0.226,0.339,0.283,0.622,*6H/54D
91,28,13,9,8,5,5,0,0,1,4,1,0,2,0,0,0,0,3,0,0.625,0.667,1,1.667,/*H798D
92,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
93,38,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
94,31,137,409,391,35,83,15,1,13,46,14,3,71,1,0,3,9,0,0,0.212,0.24,0.355,0.595,35H/467
95,31,6,10,10,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,/*DH3
96,21,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,/*H
97,24,17,14,11,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,*1/H
98,26,100,252,236,22,56,8,1,1,25,11,0,46,1,2,2,4,4,4,0.237,0.272,0.292,0.564,5H64/7
99,28,2,5,3,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,/*1
100,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
101,30,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
102,26,82,258,246,35,76,17,2,6,22,7,0,49,3,2,0,1,7,0,0.309,0.336,0.467,0.803,98H7
103,29,141,511,452,50,120,17,6,3,41,52,4,95,1,3,3,10,14,9,0.265,0.341,0.35,0.69,*8*7H/9
104,41,50,150,134,11,19,5,0,3,14,14,0,36,1,1,0,5,0,0,0.142,0.228,0.246,0.474,*2/H
105,26,88,308,280,31,68,14,0,8,35,21,1,85,5,0,2,2,1,1,0.243,0.305,0.379,0.684,973H/D
106,32,28,6,6,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.167,0.167,0.167,0.333,*1
107,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
108,29,67,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
109,35,48,150,139,16,44,5,1,0,14,8,0,11,2,0,1,3,0,2,0.317,0.36,0.367,0.727,H4/67
110,28,23,53,51,6,14,2,1,3,8,2,0,9,0,0,0,2,0,0,0.275,0.302,0.529,0.831,*9/HD
111,20,18,50,44,7,11,2,0,1,5,5,0,13,0,0,1,1,1,0,0.25,0.32,0.364,0.684,/*56H
112,29,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
113,29,47,155,143,18,39,7,1,6,16,10,1,35,1,0,1,4,2,0,0.273,0.323,0.462,0.784,*7H8/9
114,30,18,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,*1
115,28,136,461,420,54,102,22,3,3,31,30,0,103,2,6,3,4,28,8,0.243,0.295,0.331,0.625,*47H8/596D
116,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
117,27,73,118,105,11,21,3,1,1,3,12,0,22,0,1,0,0,7,1,0.2,0.282,0.276,0.558,*H8/79D
118,33,6,10,9,1,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0.222,0.3,0.333,0.633,/*2H
119,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
120,31,9,18,16,2,3,0,0,1,2,2,0,4,0,0,0,0,0,0,0.188,0.278,0.375,0.653,/*7*HD9
121,26,55,196,175,26,48,3,3,3,12,10,0,43,6,4,1,8,6,0,0.274,0.333,0.377,0.71,*8/H
122,30,130,575,525,75,138,21,6,6,50,40,0,132,2,5,3,2,23,12,0.263,0.316,0.36,0.676,*8/HD
123,26,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
124,25,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*1
125,27,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
126,23,37,107,95,18,18,5,0,3,10,10,0,31,2,0,0,1,2,0,0.189,0.28,0.337,0.617,*87/H9
127,26,151,611,556,66,158,26,3,10,73,40,1,67,4,3,8,11,17,4,0.284,0.332,0.396,0.728,*7/H8
128,23,67,243,223,11,47,9,0,1,18,15,1,53,2,0,3,8,0,0,0.211,0.263,0.265,0.528,*2/H
129,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
130,29,61,253,225,30,67,14,2,9,38,27,7,56,0,0,1,8,4,5,0.298,0.372,0.498,0.869,*7/H
131,32,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
132,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
133,27,46,98,92,5,17,4,0,1,6,4,1,30,0,2,0,6,0,0,0.185,0.219,0.261,0.48,6H/547
134,24,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1/HD
135,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
136,25,72,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
137,28,68,165,150,16,34,5,0,7,24,13,0,44,0,2,0,3,1,0,0.227,0.288,0.4,0.688,H97/D3
138,27,14,15,12,2,2,1,0,1,1,3,0,4,0,0,0,1,1,0,0.167,0.333,0.5,0.833,/H798
139,25,139,540,496,65,135,21,4,27,83,39,5,97,1,0,4,5,8,3,0.272,0.324,0.494,0.818,*7/H9
140,29,14,17,15,0,3,1,0,0,5,1,0,1,0,0,1,0,0,0,0.2,0.235,0.267,0.502,*H/D
141,29,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
142,26,160,697,626,89,164,43,1,30,109,63,13,185,2,0,5,9,7,3,0.262,0.329,0.478,0.807,*9
143,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
144,32,110,431,392,39,87,11,0,15,62,29,4,104,8,0,2,13,2,1,0.222,0.288,0.365,0.652,*2/HD
145,29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
146,34,33,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
147,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
148,23,31,69,56,3,6,0,0,0,4,5,0,30,0,7,1,1,0,0,0.107,0.177,0.107,0.285,*1
149,25,6,10,8,0,1,0,0,0,0,0,0,6,0,2,0,0,0,0,0.125,0.125,0.125,0.25,/*1
150,30,32,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
151,36,30,67,59,1,4,0,0,0,2,2,0,33,0,6,0,2,0,0,0.068,0.098,0.068,0.166,*1
152,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
153,30,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
154,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
155,32,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
156,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
157,26,8,20,19,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0.105,0.15,0.105,0.255,/79H8
158,29,6,10,10,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0.1,0.1,0.1,0.2,/*23
159,27,162,668,582,62,168,27,0,15,82,79,11,102,3,0,4,28,0,0,0.289,0.374,0.412,0.787,*D/3H
160,27,8,15,12,3,4,2,0,0,1,3,0,6,0,0,0,0,0,0,0.333,0.467,0.5,0.967,/7H9D
161,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
162,35,147,579,532,75,155,35,5,24,88,31,2,144,8,1,7,11,2,4,0.291,0.336,0.511,0.847,*9H/78
163,39,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
164,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
165,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
166,27,136,562,508,66,123,35,2,14,64,35,1,114,8,6,5,10,9,3,0.242,0.299,0.402,0.7,*6/DH
167,26,95,435,381,54,108,15,5,4,31,41,0,69,2,10,1,1,37,12,0.283,0.355,0.381,0.736,*6
168,28,88,372,344,39,96,15,2,3,30,23,0,47,0,2,3,7,2,2,0.279,0.322,0.36,0.682,*7/DH
169,30,148,652,555,103,193,26,1,44,137,90,19,94,5,0,2,19,3,0,0.348,0.442,0.636,1.078,*5/HD
170,25,26,53,49,2,4,1,1,0,5,0,0,20,0,4,0,0,0,0,0.082,0.082,0.143,0.224,*1
171,27,115,442,399,54,100,21,3,4,46,33,2,90,4,0,6,10,14,6,0.251,0.31,0.348,0.658,*89/HD
172,28,30,64,52,0,5,0,0,0,2,2,0,22,0,10,0,1,0,0,0.096,0.13,0.096,0.226,*1
173,25,58,222,195,29,55,7,2,8,32,21,0,41,1,0,5,6,2,2,0.282,0.347,0.462,0.808,*9/3H
174,30,136,516,453,52,117,20,0,10,58,53,2,47,1,3,6,12,0,2,0.258,0.333,0.369,0.702,*54D/H
175,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
176,37,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
177,27,29,54,46,10,12,0,1,0,0,8,0,14,0,0,0,0,8,2,0.261,0.37,0.304,0.675,*H/87
178,30,160,681,605,81,190,41,0,27,107,65,16,85,6,0,5,18,7,1,0.314,0.383,0.516,0.899,*4/D6
179,22,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
180,34,24,29,24,1,1,0,0,0,0,1,0,8,0,4,0,0,0,0,0.042,0.08,0.042,0.122,*1
181,27,86,243,216,34,64,18,2,9,43,22,0,67,2,0,3,3,1,0,0.296,0.362,0.523,0.885,73H/D9
182,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
183,27,56,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,*1
184,27,157,717,626,126,199,55,7,11,78,72,1,98,9,3,7,4,3,3,0.318,0.392,0.481,0.873,*45/H39
185,26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
186,26,15,21,17,3,3,0,0,0,1,1,0,5,2,1,0,1,0,0,0.176,0.3,0.176,0.476,/*H978
187,39,73,249,227,26,48,9,0,0,11,17,0,39,1,2,2,3,2,1,0.211,0.267,0.251,0.518,*54H/61D
188,31,20,13,11,5,7,0,0,1,3,1,0,1,1,0,0,0,3,0,0.636,0.692,0.909,1.601,*9*H/7D
189,24,14,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,,,*1
190,26,148,585,506,64,113,24,2,29,82,70,1,212,4,0,5,8,2,0,0.223,0.32,0.451,0.77,37D/H9
191,26,34,60,53,7,13,1,0,1,3,1,0,25,0,6,0,0,2,0,0.245,0.259,0.321,0.58,*1/H
192,28,62,125,112,15,24,4,1,1,10,9,0,20,0,2,2,1,9,2,0.214,0.268,0.295,0.563,*4H/6D
193,32,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
194,26,8,18,18,2,3,1,0,1,1,0,0,5,0,0,0,0,0,0,0.167,0.167,0.389,0.556,/*97H
195,21,11,18,18,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0.278,0.278,0.278,0.556,/*7HD
196,26,113,428,380,41,104,23,0,8,32,34,3,97,11,1,2,13,2,0,0.274,0.349,0.397,0.746,*2/H
197,26,120,491,435,63,120,35,1,18,56,50,3,130,2,0,4,4,2,1,0.276,0.35,0.485,0.835,*2D/H
198,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
199,23,161,705,666,59,163,34,2,10,44,30,0,129,7,1,1,21,9,6,0.245,0.284,0.347,0.631,*6/H
200,26,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
201,30,89,288,264,24,64,8,3,3,21,14,1,73,3,6,1,6,5,4,0.242,0.287,0.33,0.617,*6/HD35
202,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
203,23,4,10,10,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0.3,0.3,0.3,0.6,/*2
204,27,17,61,52,12,14,3,0,3,8,8,0,9,1,0,0,1,0,0,0.269,0.377,0.5,0.877,*2/4
205,27,135,574,529,74,127,21,4,26,80,37,5,137,5,0,3,8,7,7,0.24,0.294,0.442,0.737,*7D8/H
206,25,32,70,63,2,12,1,0,1,7,3,0,15,0,2,2,1,0,0,0.19,0.221,0.254,0.475,*1/H
207,27,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
208,26,25,29,26,5,4,1,0,0,1,3,2,11,0,0,0,0,0,1,0.154,0.241,0.192,0.434,*H7/9
209,25,68,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
210,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
211,23,26,45,40,3,12,1,0,0,7,2,0,8,0,3,0,0,0,0,0.3,0.333,0.325,0.658,*1/H
212,35,97,279,266,22,71,10,0,2,14,9,1,31,0,3,1,9,1,3,0.267,0.29,0.327,0.617,*98H7/D
213,35,80,254,228,28,64,14,2,9,44,19,4,45,1,0,5,7,1,0,0.281,0.332,0.478,0.81,*5H/3D
214,29,35,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
215,36,34,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.5,1,*1
216,27,23,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*1
217,29,13,30,28,3,5,3,0,0,0,2,0,6,0,0,0,1,0,0,0.179,0.233,0.286,0.519,/32H5D
218,24,94,308,289,30,65,17,0,11,36,16,0,56,2,1,0,8,1,0,0.225,0.27,0.398,0.668,*5/HD
219,37,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
220,23,9,19,18,2,5,1,0,0,0,1,0,6,0,0,0,0,0,0,0.278,0.316,0.333,0.649,/97H8D
221,30,154,712,569,107,162,34,2,21,54,112,5,133,26,3,2,3,20,11,0.285,0.423,0.462,0.885,*8/7H
222,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
223,23,24,35,28,4,7,1,0,0,1,0,0,9,0,7,0,0,1,0,0.25,0.25,0.286,0.536,*1/H
224,27,56,137,125,9,28,4,2,2,8,9,2,23,1,1,1,2,9,1,0.224,0.279,0.336,0.615,*6H5/D43
225,27,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
226,24,28,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
227,25,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
228,31,16,40,38,1,4,1,0,0,0,1,0,15,0,1,0,0,0,0,0.105,0.128,0.132,0.26,*2/H
229,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
230,25,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
231,24,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,/*1
232,27,12,24,23,2,5,1,0,0,2,1,0,5,0,0,0,1,0,0,0.217,0.25,0.261,0.511,/*H25
233,28,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
234,26,13,22,18,1,2,1,0,0,1,2,0,4,0,2,0,0,0,0,0.111,0.2,0.167,0.367,*1
235,25,22,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,*1
236,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
237,28,70,214,195,10,50,10,3,1,10,17,1,43,1,0,1,2,2,0,0.256,0.318,0.354,0.672,H78/594D
238,30,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
239,29,55,181,160,14,31,3,0,7,17,20,0,58,1,0,0,5,0,1,0.194,0.287,0.344,0.631,3D9/H
240,22,19,36,34,3,7,0,0,0,5,1,0,14,0,1,0,0,0,0,0.206,0.229,0.206,0.434,*1
241,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
242,23,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
243,27,49,12,11,1,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0.091,0.167,0.091,0.258,*1
244,24,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,/*1
245,40,30,6,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,*1
246,27,27,78,75,8,12,0,0,3,10,3,1,27,0,0,0,2,0,0,0.16,0.192,0.28,0.472,*8/H793
247,25,92,255,233,23,58,13,1,7,21,17,2,61,4,0,1,6,0,1,0.249,0.31,0.403,0.713,*2H/D
248,29,21,31,31,2,8,0,0,0,3,0,0,5,0,0,0,1,0,3,0.258,0.258,0.258,0.516,*H/78
249,41,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
250,26,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
